id,reference_text,predicted_text,norm_reference_text,norm_predicted_text,wer,wil,substitutions,deletions,insertions,hits,audio_duration,transcription_time,metadata_uuid,model,dataset,dataset_split,engine
0,"שלום, צליל <*>",שלום צליל אברהם.,שלום <*> אברהם,שלום צליל אברהם,0.0,0.0,0,0,0,3,1.72,7.36685179199776,gold_000_line_000,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
1,"<*>, מדהים, לא?"," לגמרי, מדהים, לא?",לגמרי <*>,לגמרי מדהים לא,0.0,0.0,0,0,0,3,1.12,7.35823345800236,gold_000_line_001,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
2,"ודווקא בגלל שכולנו היינו עסוקים במלחמה, הפודקאסט הזה שלנו <*> של מה שקרה במשפט בשבועיים האחרונים.",תודה רבה.,ודווקא בגלל שכולנו היינו עסוקים במלחמה הפודקאסט הזה שלנו הוא הזדמנות <*> בשבועיים האחרונים,תודה רבה,1.0,1.0,2,17,0,0,7.412993197278912,6.464774500000203,gold_000_line_002,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
3,"אז היום אנחנו נדבר על החקירה הנגדית של אילן ישועה, חקירה שהיא ממש",תודה רבה.,אז <*> ה הנגדית של אילן ישועה חקירה שהיא ממש,תודה רבה,1.0,1.0,2,11,0,0,5.24,6.468410082998162,gold_000_line_003,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
4,הרמת מסך מעל סבך של <*> בעולם התקשורת הישראלית.,תודה רבה.,הרמת מסך מעל סבך של אינטרסים בעולם התקשורת הישראלית,תודה רבה,1.0,1.0,2,7,0,0,4.267006802721088,6.450052958000015,gold_000_line_004,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
5,שנתחיל?,שנתחיל?,שנתחיל,שנתחיל,0.0,0.0,0,0,0,1,0.84,6.5296678749982675,gold_000_line_005,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
6,"אגב, <*> את זה בנפרד."," אגב, כל עורך דין עושה את זה בנפרד.",אגב כל עורך דין עושה את זה בנפרד,אגב כל עורך דין עושה את זה בנפרד,0.0,0.0,0,0,0,8,2.2800226757369613,8.31782587500129,gold_000_line_006,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
7,"עורך הדין של שאול אלוביץ', אחרי זה עורכת הדין של איריס אלוביץ',",תודה רבה.,עורך הדין של שאול אלוביץ אחרי זה עורכת הדין של איריס אלוביץ,תודה רבה,1.0,1.0,2,10,0,0,3.92,6.4606444999990345,gold_000_line_007,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
8,"ובסוף יעשה את זה עורך הדין בועז בן צור, שהוא עורך הדין של נתניהו.",ובסוף יעשה את זה עורך הדין בועז מנצור שהוא עורך הדין של נתניהו.,ובסוף יעשה את זה עורך הדין בועז בן צור שהוא עורך הדין של נתניהו,ובסוף יעשה את זה עורך הדין בועז מנצור שהוא עורך הדין של נתניהו,0.14285714285714285,0.20879120879120883,1,1,0,12,3.52,3.012008917001367,gold_000_line_008,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
9,נכון.,נכון.,נכון,נכון,0.0,0.0,0,0,0,1,0.6129931972789116,1.2198129999997036,gold_000_line_009,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
10,"למשל, הוא שלף כל מיני, אה, אס אמ אסים ו-… והקלטות והודעות בשביל להראות"," למשל, הוא שלף כל מיני סמסים והקלטות והודעות בשביל להראות.",למשל הוא שלף כל מיני <*> והקלטות והודעות בשביל להראות,למשל הוא שלף כל מיני סמסים והקלטות והודעות בשביל להראות,0.35714285714285715,0.4214285714285714,1,4,0,9,5.142993197278911,2.651965624998411,gold_000_line_010,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
11,"שעיתונאים בוואלה לא יכלו לכתוב בעצם ידיעות על בזק,",שעיתונאים בוואלה לא יכלו לכתוב בעצם ידיעות על בזק.,שעיתונאים בוואלה לא יכלו לכתוב בעצם <*>,שעיתונאים בוואלה לא יכלו לכתוב בעצם ידיעות על בזק,0.0,0.0,0,0,0,9,5.515986394557823,2.821938916997169,gold_000_line_011,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
12,"החברה האם זו שמחזיקה או החזיקה אז בוואלה,"," החברה M, זו שמחזיקה או החזיקה אז בוואלה.",<*> שמחזיקה או החזיקה אז בוואלה,החברה m זו שמחזיקה או החזיקה אז בוואלה,0.125,0.234375,1,0,0,7,3.0529931972789117,2.1417396670003654,gold_000_line_012,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
13,"בלי שזה עבר דרך העורך הראשי או דרך המנכ""ל, אילן ישועה.",בלי שזה עבר דרך העורך הראשי או דרך המנכ״ל אילן ישועה.,בלי שזה עבר דרך העורך הראשי או דרך המנכל אילן ישועה,בלי שזה עבר דרך העורך הראשי או דרך המנכ ל אילן ישועה,0.18181818181818182,0.24242424242424243,1,0,1,10,5.08,2.2173512910012505,gold_000_line_013,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
14,"נכון מאוד, ולכן ה-אה, מיתוס הזה של, אה, חומה סינית בין החלק של התוכן לבין החלק, אה, המסחרי,"," נכון מאוד, ולכן המיתוס הזה של חומה סינית בין החלק של התוכן לבין החלק המסחרי.",נכון מאוד ולכן ה אה מיתוס הזה של אה חומה סינית בין החלק של התוכן לבין החלק אה המסחרי,נכון מאוד ולכן המיתוס הזה של חומה סינית בין החלק של התוכן לבין החלק המסחרי,0.2631578947368421,0.31228070175438605,1,4,0,14,7.84,2.9391000409996195,gold_000_line_014,/Users/Shared/models/STT/ivrit-whisper-large-v3-mlx,upai-inc/saspeech,test,/Users/ofir/Projects/asr-training/engines/mlx_engine.py
